id,phase,item,value,unit,source_type,source_ref,extracted_by,confidence,used_in,confirmed_by_user,notes
DNA2-P89,1,Subordinate Reduction Amount allocation order,M-1/M-1H; M-2A/M-2AH; M-2B/M-2BH; B-1A/B-1AH; B-1B/B-1BH; B-2H; B-3H; A-H,text,PPM,p110 Allocation of Subordinate Reduction Amount,ppm-analyst,high,waterfall step 3,N,YAML principal.subordinate_reduction_allocation_order.
DNA2-P90,1,Supplemental Reduction Amount allocation order,M-1/M-1H; M-2A/M-2AH; M-2B/M-2BH; B-1A/B-1AH; B-1B/B-1BH; B-2H; B-3H; A-H,text,PPM,p110-111 Allocation of Supplemental Reduction Amount and Supplemental Senior Increase Amount,ppm-analyst,high,waterfall step 4,N,Identical to the Subordinate order. YAML principal.supplemental_reduction_allocation_order.
DNA2-P91,1,Tranche Write-down allocation order,OC amount; B-3H; B-2H; B-1B/B-1BH; B-1A/B-1AH; M-2B/M-2BH; M-2A/M-2AH; M-1/M-1H; A-H (excess over clause (d)),text,PPM,p105-106 Allocation of Tranche Write-down Amounts,ppm-analyst,high,waterfall step 1,N,YAML credit_events.tranche_write_down_allocation_order.
DNA2-P92,1,Tranche Write-up allocation order,A-H; M-1/M-1H; M-2A/M-2AH; M-2B/M-2BH; B-1A/B-1AH; B-1B/B-1BH; B-2H; B-3H,text,PPM,p106 Allocation of Tranche Write-up Amounts,ppm-analyst,high,waterfall step 1,N,Each capped at cumulative prior write-downs; remainder = Write-up Excess. YAML credit_events.tranche_write_up_allocation_order.
DNA2-P93,1,Modification Loss principal priorities,"1,3,6,7,10,11,13",priority numbers,PPM,p108 Allocation of Modification Loss Amount; p218 Principal Loss Amount (d),ppm-analyst,high,waterfall modification loss,N,"Interest priorities 2,4,5,8,9,12. DNA1 principal 1,3,5,8,9,11,13. YAML modification_events.modification_loss_principal_priorities."
DNA2-P94,1,Accrual rate haircut (Original/Current Accrual Rate),0.35,percent,PPM,p202 Glossary Current Accrual Rate; p215 Original Accrual Rate,ppm-analyst,high,waterfall modification loss (actual-pool runs),N,Same as DNA1. YAML modification_events.accrual_rate_haircut_pct.
DNA2-P95,1,Retained H-tranche minimum share of each Note/H pair,5,percent,PPM,p26 Hypothetical Structure,ppm-analyst,high,waterfall (load-time assertion),N,Verified: 5.0322% / 5.0489% / 5.0489% / 5.0186% / 5.0186%. YAML reference_tranches.retained_h_minimum_share_pct.
DNA2-P96,1,Rounding of percentages,"nearest 1/100,000 of a percentage point, 5 millionths rounded up (7 decimals as a fraction)",text,PPM,p101 General Payment Procedures,ppm-analyst,high,waterfall rounding (all percentages),N,Same as DNA1 (DNA1 p99). YAML deal.rounding_convention.
DNA2-P97,1,Rounding of dollar amounts,"nearest cent, half cent rounded up",text,PPM,p101 General Payment Procedures,ppm-analyst,high,waterfall rounding (all amounts),N,Same as DNA1.
DNA2-P98,1,Early Redemption Date assumed in PPM tables (time-based),Payment Date in March 2031,date,PPM,p139 Modeling Assumption (m)(i); p11 Table 1 fn (1); p203 Earliest Time-Based Call Option Date,ppm-analyst,high,scenario early_redemption=on,N,"Payment Date number 60 (April 2026 = 1), the same index as DNA1 (February 2031 = 60 there). YAML modeling_assumptions.m_early_redemption."
DNA2-P99,1,Clean-up threshold (aggregate UPB <= % of Cut-off Date Balance),10,percent,PPM,p215 Optional Termination Event 6; p139 Modeling Assumption (m)(ii),ppm-analyst,high,scenario early_redemption=on,N,Same as DNA1. UPB basis question (DNA1 Q14/A11) carries over.
DNA2-P100,1,Early Termination Date notice timing,first Payment Date after notice effective; second if effective 5 or fewer Business Days before a Payment Date,text,PPM,"p115 The Agreements - Termination Date, Scheduled Termination Date and Early Termination Date",ppm-analyst,high,not consumed by the engine (recorded),N,Same as DNA1. YAML termination.early_termination_timing_after_notice.
DNA2-P101,1,Preliminary Principal Loss Amount as % of Credit Event Amount (Modeling Assumption (d)),25,percent,PPM,p138 Modeling Assumption (d)(i),ppm-analyst,high,scenario/pool losses in PPM-table runs,N,Same as DNA1. No recovery lag. YAML modeling_assumptions.d_preliminary_principal_loss_pct_of_credit_event_amount.
DNA2-P102,1,Pricing Speed,10,CPR percent,PPM,p11 Table 1 fn (1),ppm-analyst,high,tieout Table 1 scenario,N,Same as DNA1.
DNA2-P103,1,"First scheduled payment / prepayment date in PPM tables (Modeling Assumptions (f),(g))",2026-02-28,date,PPM,"p138 Modeling Assumptions (f), (g)",ppm-analyst,high,pool projection start,N,"Last day of each month beginning February 2026; DNA1 January 2026. Two month-ends (Feb 28, Mar 31 2026) fall in the first Reporting Period. See DNA2-Q4."
DNA2-P104,1,SOFR Rate assumed flat in PPM tables (Modeling Assumption (r)),3.67223,percent,PPM,p139 Modeling Assumption (r),ppm-analyst,high,"tieout scenarios (interest, IO yields)",N,Same value as the first Accrual Period rate. DNA1 3.65786.
DNA2-P105,1,Original Notes issue date in PPM tables (Modeling Assumption (p)),2026-03-17,date,PPM,p139 Modeling Assumption (p),ppm-analyst,high,WAL clock origin,N,= Closing Date.
DNA2-P106,1,Note payment day assumed in PPM tables (Modeling Assumption (q)),25th of each month beginning April 2026,text,PPM,p139 Modeling Assumption (q),ppm-analyst,high,WAL clock,N,Unadjusted 25th even though 2026-04-25 is a Saturday. See DNA2-Q3.
DNA2-P107,1,Delinquency Test in PPM tables (Modeling Assumption (e)),satisfied every Payment Date,text,PPM,p138 Modeling Assumption (e),ppm-analyst,high,scenario flag delinquency_test_satisfied,N,Same as DNA1.
DNA2-P108,1,Projected Recovery Amount in PPM tables (Modeling Assumption (o)),0,USD,PPM,p139 Modeling Assumption (o),ppm-analyst,high,scenario,N,Same as DNA1.
DNA2-P109,1,First Reporting Period (April 2026 PD) - principal collections and modifications,2026-02-01 through 2026-03-31,date range,PPM,p221 Glossary Reporting Period (a)(1),ppm-analyst,high,pool projection first period,N,DNA1: 2026-01-01 through 2026-02-28. YAML reporting_period.april_2026_payment_date.
DNA2-P110,1,"First Reporting Period (April 2026 PD) - full prepayments, defects and Credit Events",2026-02-04 through 2026-04-02,date range,PPM,p221 Glossary Reporting Period (a)(2),ppm-analyst,high,pool projection first period,N,DNA1: 2026-01-06 through 2026-03-03.
DNA2-P111,1,First Reporting Period (April 2026 PD) - delinquency status as of,2026-03-31,date,PPM,p221 Glossary Reporting Period (a)(3),ppm-analyst,high,delinquency test input,N,DNA1: 2026-02-28.
DNA2-P112,1,Subsequent Reporting Periods (May 2026 PD onward),preceding calendar month for collections/modifications; 2nd Business Day to 2nd Business Day for prepayments/Credit Events; month-end for delinquency,text,PPM,p221 Glossary Reporting Period (b),ppm-analyst,high,pool projection,N,Same rule as DNA1.
DNA2-P113,1,Class M-2 (MACR) margin over SOFR Rate,1.60,percent,PPM,p10 Table 1 MACR rows; p12 Table 2 Combination 1,ppm-analyst,high,excel export / MACR pass-through,N,M-2 = M-2A + M-2B deemed exchanged on the Closing Date. DNA1 1.30.
DNA2-P114,1,Class B-1 (MACR) margin over SOFR Rate,2.10,percent,PPM,p10 Table 1 MACR rows; p12 Table 2 Combination 18,ppm-analyst,high,excel export / MACR pass-through,N,B-1 = B-1A + B-1B deemed exchanged on the Closing Date. NEW vs DNA1.
DNA2-P115,1,"Interest Only MACR coupon, M-2 family (M-2I, M-2AI, M-2BI)",0.75000,percent,PPM,p10 Table 1,ppm-analyst,high,MACR pass-through,N,Same as DNA1.
DNA2-P116,1,"Interest Only MACR coupon, B-1 family (B-1I, B-1AI)",1.00000,percent,PPM,p10 Table 1,ppm-analyst,high,MACR pass-through,N,NEW vs DNA1.
DNA2-P117,1,MACR exchange fee,5000,USD,PPM,p113 MACR Notes - Procedures,ppm-analyst,high,not consumed by the engine,N,Same as DNA1.
DNA2-P118,1,Number of MACR Combinations,23,count,PPM,p12 Table 2,ppm-analyst,high,excel export,N,DNA1 17. Combinations 18-23 (B-1 family) are NEW.
DNA2-P119,1,Number of Reference Obligations,73437,count,PPM,p229 Appendix A (row shifted),ppm-analyst,high,loader validation (count),N,"DNA1 64,434. Value prints on the 'Original Principal Balance(1)' line of the extract."
DNA2-P120,1,Aggregate Original Principal Balance,27524842000,USD,PPM,"p229 Appendix A (row shifted; rounded to $1,000 per fn (1))",ppm-analyst,high,loader validation,N,NOT the Cut-off Date Balance. The task brief quoted this figure as 'Aggregate Principal Balance'; that label belongs to the next line.
DNA2-P121,1,"Aggregate Principal Balance (Appendix A, dollars)",26703800234,USD,PPM,p229 Appendix A (row shifted),ppm-analyst,high,loader validation vs DNA2-P1,N,= Cut-off Date Balance truncated to dollars.
DNA2-P122,1,Weighted average mortgage rate,6.720,percent,PPM,p229 Appendix A (row shifted),ppm-analyst,high,loader validation; rep-line sanity,N,Range 3.990% to 8.625%. DNA1 6.793%.
DNA2-P123,1,Weighted average remaining term,352,months,PPM,p229 Appendix A (row shifted),ppm-analyst,high,loader validation; rep-line sanity,N,Range 244 to 354. DNA1 349.
DNA2-P124,1,Weighted average loan age,8,months,PPM,p229 Appendix A (row shifted),ppm-analyst,high,loader validation,N,Range 6 to 16. DNA1 10.
DNA2-P125,1,Minimum current Principal Balance at Cut-off,0,USD,PPM,p229 Appendix A (row shifted),ppm-analyst,medium,loader validation (do not assert UPB > 0 at Cut-off),N,"Printed range $0 to $1,858,202, average $363,629. A zero-UPB Reference Obligation exists in the pool; verify against the loan-level file when available."
DNA2-P126,1,Appendix C rep-line group count,38,count,PPM,p264 Appendix C,ppm-analyst,high,tieout rep-line input,N,DNA1 31 groups. Columns are shifted in the extract; see DNA2-Q5 before transcription.
DNA2-P127,1,"Minimum servicing fee (Guide requirement, not a modeling assumption)",0.25,percent,PPM,p277 Appendix E Servicing Standards,ppm-analyst,high,actual-pool Accounting Net Yield input only if Trey adopts it (DNA1 Q7 carries over),N,Same as DNA1. Not an assumed Accounting Net Yield.
